id,name,class,stream,amount
122,Jennette,s1,south,$271042.09
123,Yoshi,s1,east,$64010.10
124,Wyatan,s3,south,$266005.96
125,Valeria,s3,south,$228484.88
126,Ches,s3,east,$284434.64
127,Claus,s2,north,$254035.00
128,Russell,s5,east,$55832.62
129,Heindrick,s3,north,$34324.33
130,Indira,s4,alpha,$221511.87
131,Bertie,s2,alpha,$156280.76
132,Crystie,s5,north,$173222.55
133,Nannie,s3,west,$40687.91
134,Cesya,s1,east,$66052.49
135,Doll,s5,south,$48398.75
136,Trix,s4,west,$111282.35
137,Nollie,s5,west,$151907.47
138,Ursuline,s5,east,$117329.11
139,Arnuad,s5,north,$94695.55
140,Tilda,s3,east,$111165.91
141,Reade,s2,east,$61359.13
142,Aymer,s3,alpha,$43884.75
143,Case,s2,south,$275320.36
144,Elke,s2,west,$247048.81
145,Angelita,s2,south,$70496.31
146,Pepita,s4,west,$100635.73
147,Gayle,s3,alpha,$43875.26
148,Humfrid,s1,north,$277679.15
149,Jon,s1,alpha,$255367.76
150,Dino,s3,east,$281684.47
151,Shea,s1,east,$156606.29
152,Sandy,s2,south,$64773.98
153,Elbert,s4,south,$34629.59
154,Storm,s3,alpha,$179358.27
155,Cosme,s3,south,$38057.91
156,Ollie,s5,east,$241080.93
157,Gregorius,s3,west,$107563.27
158,Betteanne,s4,west,$124966.70
159,Blythe,s5,alpha,$165508.68
160,Lexy,s3,north,$238887.00
161,Sheryl,s5,east,$99361.94
162,Crin,s3,alpha,$173375.39
163,Karla,s4,alpha,$144529.72
164,Eve,s5,west,$165994.90
165,Kearney,s5,north,$247754.98
166,Mireille,s4,north,$101190.23
167,Paulette,s2,west,$287842.66
168,Emilio,s1,north,$37128.54
169,Kelly,s2,alpha,$98888.44
170,Ximenez,s4,west,$17253.37
171,Cosetta,s1,east,$175496.47
172,Doralynne,s2,alpha,$219886.59
173,Helene,s5,north,$97499.50
174,Drucie,s3,alpha,$80748.51
175,Mattie,s1,west,$297899.82
176,Balduin,s2,east,$165982.80
177,Diego,s3,east,$241070.84
178,Milka,s4,west,$212023.61
179,Webb,s4,alpha,$211966.20
180,Carce,s1,south,$38636.17
181,Dionysus,s1,west,$279410.27
182,Mano,s2,south,$187787.36
183,Winona,s4,east,$113765.61
184,Tyne,s2,north,$103376.12
185,Sue,s2,west,$238155.59
186,Letti,s5,alpha,$207400.13
187,Hildagard,s5,north,$294277.57
188,Freda,s1,east,$246129.58
189,Mariann,s2,west,$167832.57
190,Tom,s3,south,$150020.89
191,Kennan,s1,south,$54450.51
192,Devina,s3,east,$25537.13
193,Noe,s1,north,$221791.81
194,Maddy,s4,east,$28397.70
195,Delila,s1,south,$231892.49
196,Beatrice,s2,east,$16819.10
197,Sullivan,s4,north,$116162.23
198,Addy,s2,alpha,$27428.68
199,Emalee,s4,alpha,$196716.03
200,Udall,s5,north,$92632.24
201,Annamaria,s3,east,$170341.24
202,Mabel,s3,alpha,$287309.24
203,Fanya,s5,alpha,$132727.02
204,Ondrea,s3,alpha,$45502.18
205,Janek,s5,alpha,$292772.29
206,Karlene,s1,alpha,$30216.78
207,Evered,s1,east,$153888.02
208,Creighton,s4,north,$170053.19
209,Darby,s4,west,$239577.55
210,Malinda,s4,north,$148995.65
211,Olly,s5,east,$158252.29
212,Farly,s1,west,$248130.89
213,Gordie,s3,south,$37330.71
214,Maxy,s3,east,$281693.82
215,Isa,s2,east,$207584.19
216,Charlot,s2,alpha,$20048.79
217,Egor,s2,east,$55505.29
218,Terri,s5,north,$198483.22
219,Zola,s1,west,$244900.23
220,Rancell,s3,north,$175906.52
221,Kaycee,s1,south,$212102.17
222,Netty,s3,north,$149982.43
223,Shawn,s4,north,$72722.83
224,Willetta,s5,south,$186091.70
225,Sunshine,s5,south,$134072.98
226,Matti,s1,east,$81544.07
227,Lay,s3,east,$53145.99
228,Dulce,s1,south,$198380.07
229,Raleigh,s3,east,$272336.19
230,Malinde,s5,south,$174233.67
231,Sofie,s5,east,$264123.86
232,Isabeau,s1,north,$270814.81
233,Kacie,s5,east,$33831.29
234,Donna,s4,north,$147011.69
235,Nicholas,s1,west,$100819.34
236,Mac,s4,north,$122932.88
237,Franklin,s1,east,$51865.13
238,Nathaniel,s2,west,$90649.09
239,Kerstin,s4,alpha,$215990.75
240,Liliane,s1,alpha,$77221.62
241,Cobby,s3,alpha,$124308.72
242,Robby,s2,south,$35132.46
243,Vasili,s3,north,$244941.18
244,Marius,s5,alpha,$121493.94
245,Bud,s3,south,$118417.37
246,Florie,s5,north,$190671.19
247,Belita,s4,east,$153355.09
248,Ban,s4,west,$225964.63
249,Caron,s5,alpha,$158448.46
250,Emlyn,s2,west,$297528.93
251,Jervis,s4,east,$243983.25
252,Allsun,s2,alpha,$250384.53
253,Daven,s3,east,$82881.14
254,Adan,s5,east,$87758.44
255,Morgan,s2,south,$127551.12
256,Ed,s4,west,$299845.10
257,Nelson,s5,east,$48567.71
258,Garner,s5,north,$70452.57
259,Courtnay,s4,alpha,$112573.01
260,Mame,s3,north,$76439.13
261,Ruprecht,s1,alpha,$61964.81
262,Cynthie,s5,south,$61060.19
263,Kimbell,s5,south,$271481.19
264,Mikol,s5,west,$211567.98
265,Reynold,s1,alpha,$153858.29
266,Drud,s2,north,$116381.03
267,Colline,s1,north,$44518.44
268,Claudette,s3,east,$44795.95
269,Webster,s5,south,$255429.75
270,Gussi,s1,west,$272458.11
271,Horatia,s5,alpha,$202316.95
272,Debbi,s2,north,$96124.45
273,Obie,s4,south,$168128.97
274,Serene,s4,alpha,$173961.57
275,Amelina,s4,west,$47674.69
276,Ab,s2,alpha,$156563.63
277,Aigneis,s2,south,$262009.48
278,Rosene,s4,alpha,$220074.12
279,Marrissa,s4,south,$92492.19
280,Nanny,s5,alpha,$285841.24
281,Sheilakathryn,s2,south,$21606.91
282,Milicent,s3,north,$56474.96
283,Tam,s3,west,$111406.39
284,Mira,s3,east,$59974.77
285,Estelle,s4,alpha,$44877.72
286,Vicki,s3,east,$76727.34
287,Kent,s1,south,$28683.92
288,Stormie,s3,north,$162427.44
289,Aretha,s2,alpha,$290426.16
290,Didi,s3,alpha,$264952.98
291,Daune,s3,north,$206754.48
292,Etta,s5,north,$147394.88
293,Thomasa,s3,south,$296891.21
294,Carlynn,s1,alpha,$20296.64
295,Valentine,s2,south,$268449.46
296,Rogers,s5,north,$217914.85
297,Arny,s2,south,$226668.60
298,Hanny,s1,alpha,$206697.72
299,Cleopatra,s5,east,$40265.19
300,Marieann,s4,south,$207791.08
301,Irvin,s5,north,$295781.32
302,Genvieve,s1,north,$91264.70
303,Darb,s4,north,$279439.74
304,Philip,s4,south,$213014.59
305,Sharron,s1,west,$81664.10
306,Loraine,s5,north,$216706.18
307,Ephraim,s2,north,$38153.57
308,Lila,s2,north,$130149.50
309,Chelsy,s3,south,$150521.98
310,Shanan,s5,alpha,$199262.84
311,Donia,s2,south,$140233.31
312,Valaria,s5,north,$61677.14
313,Livvie,s5,east,$45012.41
314,Levon,s1,west,$126743.64
315,Lesly,s5,west,$114823.34
316,Elberta,s2,alpha,$55778.21
317,Isa,s2,south,$236078.43
318,Harvey,s3,east,$86145.89
319,Nettle,s1,north,$266487.70
320,Tandie,s1,north,$257985.17
321,Alex,s2,south,$99137.49
322,Beverlie,s4,south,$210071.66
323,Jerrie,s1,north,$148443.03
324,Kristan,s5,east,$239280.09
325,Cristal,s1,south,$27363.36
326,Tamera,s1,east,$214922.77
327,Selma,s3,south,$232933.24
328,Avie,s5,south,$173225.70
329,Bernette,s3,alpha,$27999.45
330,Rance,s5,west,$126918.97
331,Gale,s5,east,$139271.76
332,Shane,s2,south,$193338.10
333,Lonnie,s5,south,$91080.14
334,Nichol,s4,east,$122867.64
335,Jannelle,s4,north,$64084.89
336,Michelina,s3,north,$122095.88
337,Danyelle,s2,south,$191749.44
338,Guido,s3,south,$187718.59
339,Meryl,s3,south,$274105.41
340,Emogene,s1,south,$200869.71
341,Lorettalorna,s5,north,$253963.26
342,Aliza,s3,east,$134811.03
343,Briant,s3,south,$103635.95
344,Michail,s2,west,$33542.32
345,Clive,s3,west,$229447.18
346,Hazel,s1,alpha,$108160.82
347,Rhody,s2,west,$219834.29
348,Salome,s3,east,$39672.40
349,Lewiss,s4,west,$207970.47
350,Silva,s5,south,$259749.28
351,Fania,s3,east,$189927.30
352,Lillian,s3,alpha,$255907.78
353,Bogey,s4,south,$152209.55
354,Bobette,s3,north,$105633.16
355,Jennie,s4,south,$179642.01
356,Gustavus,s3,north,$194290.19
357,Danya,s2,north,$197932.54
358,Iggy,s5,north,$247450.23
359,Frederigo,s3,west,$40902.43
360,Tallia,s5,east,$250389.88
361,Fayina,s5,north,$72102.50
362,Wenonah,s5,north,$155421.12
363,Reina,s2,west,$134308.66
364,Amber,s4,north,$86464.97
365,Minda,s4,west,$243955.08
366,Elvira,s5,west,$213070.61
367,Dominic,s4,east,$162677.38
368,Ichabod,s4,south,$151052.47
369,Barty,s1,east,$28763.76
370,Elyssa,s4,east,$256541.61
371,Sonnie,s1,west,$104366.87
372,Loy,s2,west,$210004.58
373,Cecily,s4,alpha,$14476.53
374,Waring,s3,alpha,$278596.48
375,Milena,s5,alpha,$215774.99
376,Gayle,s4,south,$212056.80
377,Bent,s2,south,$228321.45
378,Hobey,s5,west,$170468.30
379,Lynelle,s5,north,$16991.08
380,Elwin,s3,alpha,$29161.61
381,L;urette,s2,east,$53359.13
382,Hillier,s2,north,$118315.50
383,Ervin,s2,south,$144841.50
384,Dorine,s4,east,$60983.59
385,Neille,s5,south,$252659.23
386,Sonnnie,s2,alpha,$293522.67
387,Jerrilee,s1,south,$234880.33
388,Germain,s5,east,$124888.48
389,Grantley,s2,east,$73406.21
390,Quent,s5,alpha,$110332.41
391,Jereme,s4,alpha,$23419.08
392,Xenia,s2,west,$129072.82
393,Quill,s3,west,$286552.12
394,Jonah,s3,east,$273407.45
395,Quintilla,s5,north,$146277.44
396,Jeanna,s1,east,$165775.94
397,Mavis,s2,west,$197557.77
398,Clarice,s1,west,$44635.55
399,Jacquelynn,s5,alpha,$126406.92
400,Cordy,s2,north,$48759.33
401,Lion,s2,south,$63399.20
402,Jesse,s1,east,$98098.64
403,Wendeline,s2,alpha,$87699.87
404,Anstice,s5,west,$30970.12
405,Liva,s5,north,$126598.33
406,Wilhelmine,s5,east,$196091.78
407,Elvera,s5,alpha,$127695.85
408,Becka,s4,south,$234695.36
409,Gib,s1,west,$10550.05
410,Nelia,s4,south,$76630.14
411,Nev,s1,alpha,$63515.96
412,Marjory,s4,south,$127295.41
413,Eve,s2,south,$188658.97
414,Jessy,s1,south,$65578.84
415,Shaylyn,s1,east,$174529.20
416,Brietta,s1,alpha,$91949.05
417,Stillman,s2,north,$274933.23
418,Torie,s3,south,$28829.14
419,Burg,s3,north,$30988.30
420,Saunderson,s3,north,$60714.36
421,Renae,s5,west,$138509.38
422,Bartram,s2,west,$47707.36
423,Stace,s3,east,$211296.44
424,Loise,s2,south,$207723.94
425,Lyndy,s4,west,$145787.00
426,Allister,s2,west,$141124.32
427,Elly,s5,west,$224989.60
428,Collete,s1,south,$183701.55
429,Dedra,s3,south,$58659.85
430,Aldon,s4,alpha,$274242.03
431,Hoebart,s1,east,$243820.41
432,Tremain,s2,south,$171431.61
433,Rockie,s3,west,$287621.09
434,Packston,s5,north,$125351.78
435,Roshelle,s2,north,$144181.26
436,Felipe,s5,alpha,$75980.35
437,Christel,s5,east,$94607.36
438,Ingeborg,s4,south,$117231.66
439,Corette,s3,south,$190304.37
440,Gerek,s4,north,$254088.58
441,Angelica,s5,east,$125004.56
442,Anabal,s4,alpha,$112158.78
443,Penny,s3,east,$120572.95
444,Frederick,s1,west,$210289.68
445,Ludovika,s1,west,$36626.29
446,Allsun,s4,alpha,$36557.38
447,Curtis,s4,alpha,$215233.30
448,Luigi,s1,north,$229329.84
449,Sonnnie,s2,alpha,$86450.23
450,Tades,s3,south,$262541.26
451,Thorny,s1,north,$133180.59
452,Berky,s5,north,$114547.42
453,Orbadiah,s4,north,$295381.25
454,Adan,s4,alpha,$72608.20
455,Starlene,s4,west,$122492.11
456,Charmian,s1,east,$121899.38
457,Karlyn,s1,north,$168862.30
458,Micki,s3,alpha,$196656.98
459,Kerk,s5,alpha,$266737.64
460,Deeann,s4,east,$275579.69
461,Pacorro,s2,east,$26967.49
462,Bonita,s3,alpha,$238766.41
463,Tedd,s1,alpha,$97804.41
464,Ryun,s2,east,$58441.55
465,Mirna,s4,north,$159930.61
466,Juditha,s1,west,$256352.61
467,Paulie,s5,west,$141076.85
468,Ronnica,s3,east,$67080.82
469,Sarita,s3,east,$96643.20
470,Giraldo,s4,east,$130356.58
471,Maure,s2,north,$91191.41
472,Rafferty,s1,north,$201177.33
473,Alvan,s1,north,$133661.47
474,Ricoriki,s3,west,$55979.54
475,Torrey,s1,west,$31919.93
476,Griz,s1,south,$242798.87
477,Stevie,s4,east,$180084.41
478,Helyn,s3,east,$118236.09
479,Shirleen,s2,east,$262635.22
480,Arlen,s3,west,$268220.82
481,Osbourne,s4,east,$110886.04
482,Julia,s2,west,$263292.83
483,Riccardo,s5,east,$151531.73
484,Jeri,s1,alpha,$231492.08
485,Elvira,s4,north,$13593.64
486,Ossie,s3,east,$159506.47
487,Rayner,s1,west,$95083.57
488,Cam,s2,south,$84480.57
489,Amara,s5,alpha,$289194.61
490,Carmine,s1,east,$44237.73
491,Cory,s1,alpha,$219519.33
492,Brod,s2,east,$162616.41
493,Melessa,s5,south,$264964.19
494,Crystal,s5,alpha,$243595.71
495,Marthe,s4,east,$129965.30
496,Michale,s5,east,$79867.73
497,Abba,s3,east,$221682.79
498,Sibbie,s3,alpha,$43048.34
499,Garik,s4,alpha,$87313.03
500,Dunc,s5,north,$144586.71
501,Robb,s2,south,$37654.85
502,Abbie,s1,north,$256031.51
503,Kearney,s4,south,$97133.26
504,Gallagher,s5,north,$201326.67
505,Damon,s5,alpha,$292956.61
506,Chen,s3,west,$262811.68
507,Betsy,s2,south,$228881.98
508,Lauren,s5,south,$62199.22
509,Timothy,s3,south,$142540.56
510,Padget,s2,west,$47698.22
511,Gwyn,s2,south,$211842.79
512,Mellie,s4,alpha,$288187.18
513,Duffie,s5,north,$215104.63
514,Andi,s4,alpha,$23473.37
515,Sisile,s3,north,$225465.19
516,Domenic,s4,south,$175238.02
517,Joeann,s3,south,$198985.40
518,Marie,s3,north,$160481.19
519,Kimberlee,s2,north,$166091.15
520,Daveen,s5,east,$287642.29
521,Shawnee,s3,east,$280875.51
522,Kilian,s3,east,$123816.92
523,Adela,s5,south,$266710.21
524,Daphna,s2,alpha,$105207.98
525,Fredra,s2,alpha,$229490.45
526,Thomasa,s2,west,$283886.33
527,Cory,s4,south,$37859.78
528,Lu,s3,south,$173663.86
529,Fae,s2,south,$285369.71
530,Erhart,s1,alpha,$119061.72
531,Jard,s5,east,$41437.76
532,Chrisy,s3,alpha,$138778.04
533,Gabriel,s4,north,$41807.52
534,Jennine,s2,north,$166346.10
535,Redd,s2,north,$84170.39
536,Cortie,s1,alpha,$109555.59
537,Elfrida,s1,north,$268846.14
538,Odele,s5,alpha,$230213.00
539,Dionysus,s4,north,$49471.76
540,Brunhilda,s4,south,$297226.74
541,Giraldo,s2,east,$256691.78
542,Bordy,s2,east,$295129.82
543,Janith,s4,west,$47707.61
544,Darb,s2,south,$135052.03
545,Louis,s3,alpha,$71716.76
546,York,s3,south,$142871.36
547,Marcus,s5,west,$160215.81
548,Blake,s2,east,$289189.36
549,Ansley,s4,east,$227028.10
550,Isabella,s3,alpha,$273505.95
551,Renate,s4,north,$274625.42
552,Free,s3,alpha,$129587.28
553,Shirleen,s3,north,$163330.83
554,Augie,s5,east,$128848.65
555,Hort,s4,south,$161978.26
556,Cherice,s3,west,$125178.66
557,Koralle,s3,north,$94695.96
558,Terrye,s3,south,$48587.88
559,Lemmie,s1,north,$123121.96
560,Bea,s2,alpha,$236233.74
561,Pebrook,s3,north,$270506.38
562,Russ,s3,alpha,$24584.60
563,Donny,s2,alpha,$97173.67
564,Muffin,s5,west,$126971.76
565,Thorpe,s5,south,$139412.80
566,Filippo,s3,north,$151176.89
567,Vito,s2,west,$98581.49
568,Tildie,s2,east,$251093.45
569,Desirae,s3,alpha,$237653.10
570,Julie,s2,east,$163844.57
571,Saree,s2,north,$29156.53
572,Rena,s4,north,$222557.36
573,Gardie,s5,alpha,$263745.29
574,Patsy,s4,west,$166251.48
575,Chad,s4,south,$132345.45
576,Stephenie,s3,north,$212793.54
577,Pancho,s1,north,$189134.64
578,Sashenka,s1,east,$219990.20
579,Orren,s1,south,$223719.08
580,Codie,s1,east,$175233.14
581,Ibrahim,s2,south,$164305.90
582,Lebbie,s2,east,$28393.57
583,Quinton,s3,south,$29287.94
584,Giorgia,s1,west,$40329.88
585,Linn,s4,east,$256648.64
586,Clemmie,s4,alpha,$241029.00
587,Colene,s5,west,$268970.20
588,Shirley,s5,north,$49314.90
589,Yard,s5,east,$184982.19
590,Frederico,s5,north,$122810.65
591,Tanner,s1,east,$121789.45
592,Leon,s5,west,$253409.02
593,Berkeley,s4,east,$40537.51
594,Darlene,s2,north,$246825.79
595,Junette,s2,south,$82882.00
596,Efrem,s5,east,$88623.54
597,Agace,s3,south,$22218.61
598,Phyllys,s2,north,$89013.29
599,Eadie,s3,north,$222882.39
600,Ferdinanda,s4,alpha,$129950.32
601,Jordanna,s2,east,$144702.69
602,Cly,s1,south,$48489.02
603,Levin,s2,east,$62509.25
604,Jedediah,s5,west,$42836.93
605,Katharine,s4,east,$140989.19
606,Zaccaria,s4,east,$225803.23
607,Drusy,s3,east,$91921.71
608,Samson,s3,alpha,$295496.31
609,Sheeree,s2,north,$168478.15
610,Sandra,s2,alpha,$172718.29
611,Casey,s1,south,$101867.94
612,Loralie,s1,south,$205278.41
613,Alina,s5,alpha,$163117.75
614,Alayne,s1,alpha,$151849.76
615,Fifine,s5,west,$209854.18
616,Katuscha,s4,alpha,$284918.07
617,Lucretia,s2,alpha,$236408.72
618,Valentino,s3,alpha,$253105.11
619,Ashlee,s2,west,$214486.59
620,Jeanne,s2,west,$24386.07
621,Pavlov,s2,north,$211465.67
622,Kori,s1,alpha,$44398.95
623,Lynda,s1,east,$145379.54
624,Lefty,s3,north,$267739.38
625,Rudolf,s5,south,$95776.59
626,Almeria,s5,west,$25171.22
627,Jamaal,s3,north,$105171.94
628,Alyson,s3,west,$135685.59
629,Adaline,s1,alpha,$243597.51
630,Georg,s5,alpha,$54891.63
631,Joelly,s5,east,$210917.27
632,Sax,s4,north,$209284.54
633,Jacklyn,s3,north,$176937.00
634,Thomasa,s2,north,$190420.97
635,Perri,s1,west,$274818.42
636,Earl,s5,east,$273563.42
637,Corney,s4,north,$187579.47
638,Vanya,s3,south,$90017.63
639,Marna,s2,west,$239555.47
640,Audy,s3,south,$104638.00
641,Gannon,s3,north,$59597.99
642,Herschel,s5,north,$73302.89
643,Neale,s3,south,$207242.83
644,Isabelita,s1,south,$226719.39
645,Bethena,s5,east,$172050.21
646,Lib,s5,west,$38955.16
647,Stanleigh,s4,north,$261746.75
648,Lucia,s1,west,$208402.58
649,Meriel,s2,west,$130900.81
650,Auroora,s4,south,$78567.33
651,Hall,s4,south,$31380.59
652,Berti,s1,south,$260978.01
653,Cass,s2,south,$267897.36
654,Inga,s3,east,$198628.10
655,Rip,s4,east,$13519.38
656,Perri,s4,alpha,$215149.47
657,Hirsch,s1,east,$155603.67
658,Joyan,s3,north,$45027.84
659,Eulalie,s2,north,$46696.48
660,Carie,s4,south,$194315.46
661,Loren,s1,alpha,$26540.17
662,Carlo,s5,east,$261776.74
663,Killian,s5,east,$202401.69
664,Angelo,s5,south,$275685.93
665,Alfonso,s3,alpha,$243230.23
666,Babs,s5,alpha,$75588.86
667,Worth,s2,alpha,$102471.26
668,Veda,s3,west,$254408.48
669,Belva,s4,east,$113575.10
670,Byran,s2,east,$117629.71
671,Anabal,s5,east,$258723.34
672,Nicole,s4,north,$228068.29
673,Reed,s4,north,$276932.84
674,Lonee,s4,west,$243496.44
675,Jermain,s2,east,$272663.19
676,Cristabel,s3,west,$12391.88
677,Vivien,s5,alpha,$264508.57
678,Denys,s1,east,$177848.50
679,Christoffer,s3,north,$225480.50
680,Kylie,s2,east,$295170.40
681,Devina,s3,alpha,$33172.51
682,Austen,s5,south,$156539.54
683,Berny,s1,west,$30726.73
684,Broddy,s1,north,$267933.60
685,Florence,s5,alpha,$200648.54
686,Merell,s1,alpha,$24143.85
687,Kinnie,s2,west,$151432.91
688,Friedrick,s1,west,$226448.92
689,Yank,s4,south,$218410.47
690,Aleta,s1,east,$251472.76
691,Ryun,s5,south,$115795.69
692,Nerita,s3,alpha,$265114.63
693,Kelcie,s5,alpha,$191380.39
694,Obediah,s1,alpha,$296817.46
695,Koren,s3,west,$151165.76
696,Vern,s1,north,$42049.17
697,Margie,s2,west,$229456.11
698,Whitman,s2,north,$240240.34
699,Meridith,s5,west,$104265.90
700,Juditha,s2,south,$231811.34
701,Charmain,s1,east,$28242.84
702,Elmira,s4,east,$231625.10
703,Barbee,s3,alpha,$106196.04
704,Lacy,s1,alpha,$153396.53
705,Lucho,s1,west,$69114.77
706,Catina,s3,north,$296269.42
707,Archibold,s3,east,$298498.05
708,Alair,s3,south,$110444.05
709,Philipa,s1,south,$34688.68
710,Whitby,s1,south,$64313.45
711,Karlis,s5,west,$148632.60
712,Anatole,s4,alpha,$296555.47
713,Rodolphe,s1,alpha,$272111.70
714,Florri,s1,west,$149036.58
715,Gaspar,s5,west,$249900.47
716,Frans,s5,alpha,$73309.42
717,Cob,s2,south,$256900.41
718,Bella,s3,north,$221259.29
719,Davine,s2,north,$83453.93
720,Aleksandr,s3,north,$172691.50
721,Elysha,s1,alpha,$164566.21
722,Myrtie,s1,west,$296430.27
723,Rufus,s2,alpha,$165093.10
724,Marisa,s5,east,$285057.74
725,Conny,s5,north,$226813.13
726,Roi,s1,alpha,$58914.24
727,Isidor,s5,south,$264961.29
728,Deck,s2,north,$55153.07
729,Quincey,s5,south,$29148.92
730,Bren,s5,north,$185440.88
731,Henrietta,s4,alpha,$258514.05
732,Daphene,s4,west,$25953.76
733,Bayard,s1,north,$280955.75
734,Consuelo,s1,alpha,$166532.46
735,Clarie,s1,north,$133185.71
736,Kimberly,s3,east,$63714.20
737,Christian,s1,alpha,$59940.05
738,Domenic,s1,east,$12116.09
739,Wolfie,s4,alpha,$196829.25
740,Jasper,s5,alpha,$120910.66
741,Deck,s5,east,$12421.15
742,Gizela,s3,south,$26547.82
743,Teddy,s5,south,$128805.98
744,Bradly,s4,west,$177260.83
745,Winny,s5,south,$59789.65
746,Emalee,s2,alpha,$45297.81
747,Obie,s5,east,$13473.10
748,Val,s1,alpha,$166127.66
749,Catina,s3,south,$70402.42
750,Nissie,s1,north,$225463.66
751,Inglebert,s3,east,$274498.64
752,Alena,s1,north,$197935.51
753,Aubrette,s5,south,$86329.79
754,Elnore,s2,alpha,$56200.49
755,Eldredge,s4,east,$222901.37
756,Kelcie,s4,alpha,$182102.39
757,Ilsa,s4,north,$276153.16
758,Joyous,s3,west,$20649.07
759,Horace,s3,north,$138815.72
760,Asia,s3,alpha,$47799.35
761,Donni,s3,east,$52048.37
762,Durand,s2,alpha,$172136.58
